2020-12-03 10:18:12.928 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 21114 (/Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate)
2020-12-03 10:29:52.827 [http-nio-19113-exec-9] INFO  c.z.c.interfaceTest.ProjectManagerController - [ProjectChain(id=48, platform=adaf, project=afad, module=adfadsf, ip=afadsf, state=afasdf, creator=demo, createDate=Thu Dec 03 10:27:04 CST 2020, modifyDate=Thu Dec 03 10:27:04 CST 2020), ProjectChain(id=47, platform=fex, project=基础组, module=短信验证码, ip=localhost, state=无, creator=test, createDate=Tue Dec 01 14:47:15 CST 2020, modifyDate=Tue Dec 01 14:47:15 CST 2020), ProjectChain(id=35, platform=fex, project=钱包, module=xrp, ip=https://s.altnet.rippletest.net:51234, state=xrp相关操作, creator=admin, createDate=Fri Nov 27 16:07:55 CST 2020, modifyDate=Fri Nov 27 16:07:55 CST 2020), ProjectChain(id=33, platform=58ex, project=基础组, module=登录, ip=localhost, state=登录, creator=admin, createDate=Fri Nov 27 16:04:41 CST 2020, modifyDate=Fri Nov 27 16:06:40 CST 2020), ProjectChain(id=34, platform=58ex, project=基础组, module=充值, ip=localhost, state=充值, creator=admin, createDate=Fri Nov 27 16:05:05 CST 2020, modifyDate=Fri Nov 27 16:06:21 CST 2020), ProjectChain(id=32, platform=58ex, project=钱包, module=eth, ip=192.168.112.214, state=eth系列操作, creator=admin, createDate=Fri Nov 27 16:04:10 CST 2020, modifyDate=Fri Nov 27 16:04:10 CST 2020), ProjectChain(id=31, platform=58ex, project=钱包, module=Eos, ip=192.168.112.214, state=eos系列操作, creator=admin, createDate=Fri Nov 27 16:03:26 CST 2020, modifyDate=Fri Nov 27 16:03:26 CST 2020), ProjectChain(id=30, platform=58ex, project=钱包, module=btc, ip=192.168.112.68, state=btc系列操作, creator=admin, createDate=Fri Nov 27 16:02:44 CST 2020, modifyDate=Fri Nov 27 16:02:44 CST 2020)]
2020-12-03 10:30:12.506 [http-nio-19113-exec-1] INFO  c.z.c.interfaceTest.ProjectManagerController - [ProjectChain(id=47, platform=fex, project=基础组, module=短信验证码, ip=localhost, state=无, creator=test, createDate=Tue Dec 01 14:47:15 CST 2020, modifyDate=Tue Dec 01 14:47:15 CST 2020), ProjectChain(id=35, platform=fex, project=钱包, module=xrp, ip=https://s.altnet.rippletest.net:51234, state=xrp相关操作, creator=admin, createDate=Fri Nov 27 16:07:55 CST 2020, modifyDate=Fri Nov 27 16:07:55 CST 2020), ProjectChain(id=33, platform=58ex, project=基础组, module=登录, ip=localhost, state=登录, creator=admin, createDate=Fri Nov 27 16:04:41 CST 2020, modifyDate=Fri Nov 27 16:06:40 CST 2020), ProjectChain(id=34, platform=58ex, project=基础组, module=充值, ip=localhost, state=充值, creator=admin, createDate=Fri Nov 27 16:05:05 CST 2020, modifyDate=Fri Nov 27 16:06:21 CST 2020), ProjectChain(id=32, platform=58ex, project=钱包, module=eth, ip=192.168.112.214, state=eth系列操作, creator=admin, createDate=Fri Nov 27 16:04:10 CST 2020, modifyDate=Fri Nov 27 16:04:10 CST 2020), ProjectChain(id=31, platform=58ex, project=钱包, module=Eos, ip=192.168.112.214, state=eos系列操作, creator=admin, createDate=Fri Nov 27 16:03:26 CST 2020, modifyDate=Fri Nov 27 16:03:26 CST 2020), ProjectChain(id=30, platform=58ex, project=钱包, module=btc, ip=192.168.112.68, state=btc系列操作, creator=admin, createDate=Fri Nov 27 16:02:44 CST 2020, modifyDate=Fri Nov 27 16:02:44 CST 2020)]
2020-12-03 10:31:38.307 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-03 10:31:38.310 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-12-03 10:31:38.321 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-12-03 10:31:58.566 [main] WARN  org.springframework.boot.StartupInfoLogger - InetAddress.getLocalHost().getHostName() took 5003 milliseconds to respond. Please verify your network configuration (macOS machines may need to add entries to /etc/hosts).
2020-12-03 10:32:03.584 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 21250 (/Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate)
2020-12-03 10:32:03.586 [main] INFO  com.zmj.ZmjApplication - No active profile set, falling back to default profiles: default
2020-12-03 10:32:04.542 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'btcDao' and 'com.zmj.dao.btcd.BtcDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:32:04.543 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'mainDao' and 'com.zmj.dao.orther.base.MainDao' mapperInterface. Bean already defined with the same name!
